Subcell_ID,Longitude,Latitude,Area
429,72.52604,23.06771,Ghatlodiya Taluka
430,72.53646,23.06771,Ghatlodiya Taluka
431,72.54688,23.06771,SabarmatiTaluka
432,72.55729,23.06771,SabarmatiTaluka
433,72.56771,23.06771,SabarmatiTaluka
434,72.57813,23.06771,SabarmatiTaluka
435,72.60938,23.06771,Asarva Taluka
436,72.61979,23.06771,Asarva Taluka
437,72.65104,23.06771,Asarva Taluka
438,72.69271,23.06771,Daskroi Taluka
439,72.71354,23.06771,Daskroi Taluka
440,72.44271,23.07813,Kalol Taluka
441,72.45313,23.07813,Kalol Taluka
442,72.46354,23.07813,Kalol Taluka
443,72.47396,23.07813,Ghatlodiya Taluka
444,72.49479,23.07813,Ghatlodiya Taluka
445,72.51563,23.07813,Ghatlodiya Taluka
446,72.52604,23.07813,Ghatlodiya Taluka
447,72.53646,23.07813,SabarmatiTaluka
448,72.54688,23.07813,SabarmatiTaluka
449,72.56771,23.07813,SabarmatiTaluka
450,72.57813,23.07813,SabarmatiTaluka
451,72.58854,23.07813,SabarmatiTaluka
452,72.59896,23.07813,SabarmatiTaluka
453,72.63021,23.07813,Asarva Taluka
454,72.64063,23.07813,Asarva Taluka
455,72.65104,23.07813,Asarva Taluka
456,72.66146,23.07813,Asarva Taluka
457,72.67188,23.07813,Asarva Taluka
458,72.68229,23.07813,Asarva Taluka
459,72.69271,23.07813,Daskroi Taluka
460,72.70313,23.07813,Daskroi Taluka
461,72.71354,23.07813,Daskroi Taluka
462,72.45313,23.08854,Kalol Taluka
463,72.48438,23.08854,Ghatlodiya Taluka
464,72.51563,23.08854,Ghatlodiya Taluka
465,72.60938,23.08854,Asarva Taluka
466,72.67188,23.08854,Asarva Taluka
467,72.46354,23.08854,Kalol Taluka
468,72.49479,23.08854,Ghatlodiya Taluka
469,72.55729,23.08854,SabarmatiTaluka
470,72.56771,23.08854,SabarmatiTaluka
471,72.59896,23.08854,Asarva Taluka
472,72.61979,23.08854,Asarva Taluka
473,72.63021,23.08854,Asarva Taluka
474,72.65104,23.08854,Asarva Taluka
475,72.66146,23.08854,Asarva Taluka
476,72.68229,23.08854,Daskroi Taluka
477,72.71354,23.08854,Daskroi Taluka
478,72.47396,23.09896,Kalol Taluka
479,72.48438,23.09896,Kalol Taluka
480,72.49479,23.09896,Ghatlodiya Taluka
481,72.50521,23.09896,Ghatlodiya Taluka
482,72.51563,23.09896,Ghatlodiya Taluka
483,72.52604,23.09896,Ghatlodiya Taluka
484,72.54688,23.09896,Ghatlodiya Taluka
485,72.55729,23.09896,Ghatlodiya Taluka
486,72.56771,23.09896,SabarmatiTaluka
487,72.58854,23.09896,Asarva Taluka
488,72.59896,23.09896,Asarva Taluka
489,72.60938,23.09896,Gandhinagar Taluka
490,72.61979,23.09896,Gandhinagar Taluka
491,72.63021,23.09896,Gandhinagar Taluka
492,72.64063,23.09896,Gandhinagar Taluka
493,72.65104,23.09896,Gandhinagar Taluka
494,72.66146,23.09896,Gandhinagar Taluka
495,72.67188,23.09896,Daskroi Taluka
496,72.70313,23.09896,Daskroi Taluka
497,72.71354,23.09896,Daskroi Taluka
498,72.48438,23.10938,Kalol Taluka
499,72.49479,23.10938,Kalol Taluka
500,72.50521,23.10938,Ghatlodiya Taluka
501,72.51563,23.10938,Ghatlodiya Taluka
502,72.55729,23.10938,Ghatlodiya Taluka
503,72.56771,23.10938,SabarmatiTaluka
504,72.57813,23.10938,SabarmatiTaluka
505,72.60938,23.10938,Asarva Taluka
506,72.64063,23.10938,Gandhinagar Taluka
507,72.65104,23.10938,Gandhinagar Taluka
508,72.66146,23.10938,Gandhinagar Taluka
509,72.67188,23.10938,Gandhinagar Taluka
510,72.71354,23.10938,Gandhinagar Taluka
511,72.54688,23.11979,Ghatlodiya Taluka
512,72.57813,23.11979,Gandhinagar Taluka
513,72.60938,23.11979,SabarmatiTaluka
514,72.67188,23.11979,Gandhinagar Taluka
515,72.70313,23.11979,Gandhinagar Taluka
516,72.47396,23.11979,Kalol Taluka
517,72.50521,23.11979,Daskroi Taluka
518,72.53646,23.11979,Ghatlodiya Taluka
519,72.55729,23.11979,Ghatlodiya Taluka
520,72.58854,23.11979,SabarmatiTaluka
521,72.59896,23.11979,SabarmatiTaluka
522,72.63021,23.11979,Gandhinagar Taluka
523,72.66146,23.11979,Gandhinagar Taluka
524,72.69271,23.11979,Gandhinagar Taluka
525,72.71354,23.11979,Gandhinagar Taluka
526,72.51563,23.13021,Daskroi Taluka
527,72.57813,23.13021,Gandhinagar Taluka
528,72.53646,23.13021,Ghatlodiya Taluka
529,72.55729,23.13021,Ghatlodiya Taluka
530,72.56771,23.13021,Gandhinagar Taluka
531,72.59896,23.13021,SabarmatiTaluka
532,72.61979,23.13021,Gandhinagar Taluka
533,72.50521,23.14063,Daskroi Taluka
534,72.51563,23.14063,Daskroi Taluka
535,72.52604,23.14063,Daskroi Taluka
536,72.53646,23.14063,Daskroi Taluka
537,72.54688,23.14063,Gandhinagar Taluka
538,72.55729,23.14063,Gandhinagar Taluka
539,72.57813,23.14063,Gandhinagar Taluka
540,72.58854,23.14063,Gandhinagar Taluka
541,72.61979,23.14063,Gandhinagar Taluka
542,72.51563,23.15104,Daskroi Taluka
543,72.52604,23.15104,Kalol Taluka
544,72.53646,23.15104,Daskroi Taluka
545,72.57813,23.15104,Gandhinagar Taluka
546,72.58854,23.15104,Gandhinagar Taluka
547,72.59896,23.15104,Gandhinagar Taluka
548,72.60938,23.15104,Gandhinagar Taluka
549,72.61979,23.15104,Gandhinagar Taluka
